Frequency,DutyCycle,Run,RPM
1500.0,216.0,1.0,508.57
1500.0,218.0,1.0,511.43
1500.0,220.0,1.0,511.43
1500.0,222.0,1.0,511.43
1500.0,224.0,1.0,511.43
1500.0,226.0,1.0,514.29
1500.0,228.0,1.0,514.29
1500.0,230.0,1.0,514.29
1500.0,232.0,1.0,514.29
1500.0,234.0,1.0,514.29
1500.0,236.0,1.0,514.29
1500.0,238.0,1.0,517.14
1500.0,240.0,1.0,517.14
1500.0,242.0,1.0,517.14
1500.0,244.0,1.0,520.0
1500.0,246.0,1.0,520.0
1500.0,248.0,1.0,520.0
1500.0,250.0,1.0,522.86
1500.0,252.0,1.0,522.86
1500.0,254.0,1.0,528.57
1750.0,0.0,1.0,0.0
1750.0,2.0,1.0,0.0
1750.0,4.0,1.0,0.0
1750.0,6.0,1.0,0.0
1750.0,8.0,1.0,0.0
1750.0,10.0,1.0,0.0
1750.0,12.0,1.0,0.0
1750.0,14.0,1.0,0.0
1750.0,16.0,1.0,0.0
1750.0,18.0,1.0,0.0
1750.0,20.0,1.0,0.0
1750.0,22.0,1.0,0.0
1750.0,24.0,1.0,0.0
1750.0,26.0,1.0,0.0
1750.0,28.0,1.0,0.0
1750.0,30.0,1.0,0.0
1750.0,32.0,1.0,0.0
1750.0,34.0,1.0,0.0
1750.0,36.0,1.0,8.57
1750.0,38.0,1.0,20.0
1750.0,40.0,1.0,34.29
1750.0,42.0,1.0,48.57
1750.0,44.0,1.0,62.86
1750.0,46.0,1.0,80.0
1750.0,48.0,1.0,91.43
1750.0,50.0,1.0,108.57
1750.0,52.0,1.0,122.86
1750.0,54.0,1.0,140.0
1750.0,56.0,1.0,154.29
1750.0,58.0,1.0,168.57
1750.0,60.0,1.0,185.71
1750.0,62.0,1.0,197.14
1750.0,64.0,1.0,211.43
1750.0,66.0,1.0,225.71
1750.0,68.0,1.0,237.14
1750.0,70.0,1.0,248.57
1750.0,72.0,1.0,262.86
1750.0,74.0,1.0,271.43
1750.0,76.0,1.0,282.86
1750.0,78.0,1.0,294.29
1750.0,80.0,1.0,302.86
1750.0,82.0,1.0,311.43
1750.0,84.0,1.0,320.0
1750.0,86.0,1.0,328.57
1750.0,88.0,1.0,337.14
1750.0,90.0,1.0,342.86
1750.0,92.0,1.0,348.57
1750.0,94.0,1.0,354.29
1750.0,96.0,1.0,360.0
1750.0,98.0,1.0,365.71
1750.0,100.0,1.0,371.43
1750.0,102.0,1.0,380.0
1750.0,104.0,1.0,382.86
1750.0,106.0,1.0,388.57
1750.0,108.0,1.0,394.29
1750.0,110.0,1.0,400.0
1750.0,112.0,1.0,402.86
1750.0,114.0,1.0,405.71
